source_id,source_name,source_type,availability_tag,metric_tags,evidence_use_tags,solar_wildfire_use,fire_origin_family,has_open_numbers,does_not_have_open,url,retrieved,notes
GALLAGHER_RE_INSURING_TRANSITION_2024,Gallagher Re — Insuring the Energy Transition (2024 report),broker_report,HAS_OPEN_NUMBERS,"[""MECHANISM_NARRATIVE""]","[""MECHANISM_ONLY"", ""SOURCE_DISCOVERY""]",Names wildfire qualitatively as one of the 'biggest losses' drivers for solar; no wildfire-specific % or $ figure given in the open report.,ALL_CAUSE_PV_FIRE_BLENDED,Qualitative: wildfire named as a top loss driver for solar assets.,Any wildfire-specific % or $ figure; the quantified version of this claim (if it exists) is gated.,https://www.gallagherre.com/,2026-07-10,"HAS_PATHWAY_ONLY for the quantified wildfire share; open text is qualitative narrative only. SCOPE CAVEAT: all-cause PV fire, blends endogenous+exogenous ignition; NOT an exogenous-wildfire benchmark — cannot validate a landscape-wildfire model."
60HERTZ_FLARE_SMOKE_SOILING_2025,"60Hertz Energy — FLARE (Fire Linked Asset Risk Evaluation) model, as published in kWh Analytics 2025 SRA",om_software_vendor_research,HAS_OPEN_NUMBERS,"[""SOILING_LOSS"", ""GENERATION_SHORTFALL"", ""SMOKE_AOD""]","[""PRIMARY_BENCHMARK_CANDIDATE""]","SMOKE-SOILING scope: ~6% average annual revenue loss (subset of 40 sites with generation loss, ~1.2 GW(?) capacity, FLARE model using Aerosol Optical Depth); extreme case: 60% of a national portfolio saw double-digit generation loss during specific 2-week smoke-event windows.",SMOKE_SOILING_GENERATION,"6% avg annual site revenue loss (subset with generation loss, n=40 sites, ~1.2 GW(?) capacity, Western/Southeast/Northeast US); 60% of a developer's national portfolio saw double-digit (>10%) generation loss during 2-week smoke-event windows; this finding 'doubles' an implied ~3% 2022 SRA baseline.","$/MWh or absolute $ cleaning-cost figure; confirmation of exact unit for '1.2 Gwh' (likely capacity typo, not energy); independently verified 2022 SRA baseline.",https://60hertzenergy.com/flare-api/,2026-07-10,"The single most citable open number for the SMOKE-SOILING metric family in the entire R1 sweep. Strictly SMOKE-SOILING (generation/revenue loss), never to be blended with DIRECT physical-damage figures. Portfolio-bias caveat: 40-site convenience sample of contributor-provided sites."
GCUBE_TX_HAIL_WILDFIRE_COMPARISON_2023,GCube (via Insurance Journal) — Texas hail vs wildfire+storms+flooding comparison,trade_press_secondary_citation,HAS_OPEN_NUMBERS,"[""EVENT_LOSS"", ""CLAIM_SEVERITY""]","[""SECONDARY_BENCHMARK"", ""SCREENING_ONLY""]","2022 Texas hail losses (~$300M) were 'nearly twice' the financial hit from 'severe storms, wildfires and flooding' at notable US wind/solar facilities since 2020 — implies a combined bucket of ~$150M (half of $300M), not a wildfire-isolated figure.",ALL_CAUSE_PV_FIRE_BLENDED,"Texas hailstorms caused ~$300M in losses (2022); this was 'nearly twice' the combined hit from severe storms + wildfires + flooding at US wind/solar facilities since 2020 (implying ≈$150M combined, derived); insurers capping coverage at $10M in high-risk areas; solar property insurance premiums up as much as 50% year-over-year.",Wildfire isolated from the combined storms+wildfire+flooding bucket; per-MW severity; portfolio denominator.,https://www.insurancejournal.com/news/national/2023/08/02/733273.htm,2026-07-10,"The ~$150M figure is a DERIVED implied ceiling for a combined 'storms+wildfire+flooding' bucket (half of the stated $300M hail figure), not a directly-stated wildfire-only number — must be flagged as derived and low confidence. SCOPE CAVEAT: all-cause PV fire, blends endogenous+exogenous ignition; NOT an exogenous-wildfire benchmark — cannot validate a landscape-wildfire model."
JS_HELD_FORENSIC_PATHWAY,J.S. Held — forensic/fire-investigation practice (pathway only; no solar-wildfire case study located),forensic_engineering_firm,HAS_PATHWAY_ONLY,[],"[""SCREENING_ONLY"", ""SOURCE_DISCOVERY""]",Documented as an outreach/access pathway; no public J.S. Held (or Sedgwick) report specifically addressing utility-scale solar PV wildfire damage was located via open search.,ALL_CAUSE_PV_FIRE_BLENDED,None found relevant to utility-scale solar wildfire.,Any open numeric data — no public solar-wildfire-specific report was located from this firm or Sedgwick.,https://www.jsheld.com,2026-07-10,"Pathway: direct outreach to J.S. Held's Renewable Energy or Fire & Explosion Investigation practice group (or Sedgwick) to request anonymized/aggregated case studies of utility-scale solar PV wildfire-origin or wildfire-exposure claims, cause-and-origin findings, and repair-cost breakdowns by component — likely requires NDA/paid licensing. SCOPE CAVEAT: all-cause PV fire, blends endogenous+exogenous ignition; NOT an exogenous-wildfire benchmark — cannot validate a landscape-wildfire model."
RMS_NAWF_HD_V2,Moody's RMS — North America Wildfire HD Model v2.0,cat_model_vendor,HAS_GATED_NUMBERS,"[""AAL"", ""PML""]","[""SOURCE_DISCOVERY"", ""SCREENING_ONLY""]","Not solar-specific (an Industrial Facilities specialty model exists within the RMS suite, but no published solar-PV loss costs). Open context numbers only: LA firestorm insured-loss range $20B-$30B (all-property, not solar); SCE wildfire-mitigation case study $1B/1yr and $3.5B/3yr avoided losses (utility T&D infrastructure, not solar generation).",HAZARD_INTENSITY_ENGINEERING,"No open AAL/PML numbers for solar. Open context: LA firestorm insured-loss range $20B-$30B (all-property); SCE mitigation case study: $1B avoided losses over 1 year (55% reduction), $3.5B avoided over 3 years (65% reduction) — utility infrastructure, not solar.",Any solar-specific AAL/PML output — the model's solar-relevant loss costs are proprietary/gated behind an RMS license.,https://www.rms.com/models/wildfire,2026-07-10,"SCE figures are for utility T&D (transmission & distribution) infrastructure hardening, NOT solar generation assets — do not relabel as solar. LA firestorm $20-30B is all-property, residential-dominated."
VERISK_AIR_WILDFIRE_US,Verisk/AIR — Wildfire Model for the United States,cat_model_vendor,HAS_GATED_NUMBERS,"[""AAL"", ""PML""]","[""SOURCE_DISCOVERY"", ""SCREENING_ONLY""]","Not solar-specific. AAL defined methodologically as expected loss per year averaged over 10,000 simulated years. Open context: largest insured wildfire loss cited is $14B (2017); LA firestorm estimate $28B-$35B (all-property).",HAZARD_INTENSITY_ENGINEERING,"AAL methodology definition: expected loss per year averaged over 10,000 simulated years. Largest insured wildfire loss cited: $14B (2017). LA firestorm (Jan 2025) estimate: $28B-$35B (all-property).",Any solar-specific AAL/PML output — gated behind an AIR/Verisk license.,https://www.verisk.com/insurance/capabilities/catastrophe-modeling/,2026-07-10,"All open figures are all-property (not solar-segmented); useful only as macro AAL-methodology and loss-magnitude context, never as a solar benchmark."
PCS_WILDFIRE_DESIGNATIONS,PCS (Verisk) — Wildfire Catastrophe Designations,industry_loss_bulletin,HAS_OPEN_NUMBERS,"[""EVENT_LOSS""]","[""SCREENING_ONLY"", ""SOURCE_DISCOVERY""]","Industry-wide, not solar-segmented, but provides open named-event industry-loss bulletins useful for macro context/ceiling checks: Fort McMurray 2016 C$4.6B (~US$3.52B); historical count of 23 wildland-fire CAT events since 1949 totaling >$8B (>$5B in the most recent 10 years, as of 2013); Palisades+Eaton Fires (Jan 2025) preliminary $28B-$35B, later raised to $35.7B by April 2025; PCS designation minimum threshold = $25,000,000.",HAZARD_INTENSITY_ENGINEERING,"Fort McMurray 2016: C$4.6B (~US$3.52B). 23 wildland-fire CAT events since 1949, >$8B cumulative, >$5B in most recent 10 yrs (as of 2013). Palisades+Eaton (Jan 2025): preliminary $28B-$35B, raised to $35.7B by April 2025 ($20.6B Palisades, $15.1B Eaton). 2003 San Diego/San Bernardino wildfires: $2.04B. PCS designation threshold: $25,000,000 minimum industry loss.","Any solar-segmented loss figure — PCS designations are industry-wide (all lines of business), not asset-class-specific; underlying claims methodology is gated.",https://www.verisk.com/insurance/capabilities/pcs-catastrophe-data/,2026-07-10,"Industry-wide (all-property/all-lines) bulletins, useful only as a macro event-loss ceiling/context reference — never a solar-specific benchmark."
RENEW_RISK,Renew Risk — renewable-energy-specific catastrophe model,cat_model_vendor,HAS_PATHWAY_ONLY,[],"[""SOURCE_DISCOVERY""]","Solar farms named as a covered asset class ('only commercially available cat models built specifically for renewable energy assets'), but wildfire is not explicitly named as a modeled peril on the public product page and no open numeric loss costs are published.",HAZARD_INTENSITY_ENGINEERING,None open — product description only.,"Confirmation that wildfire is even a modeled peril in this product; any numeric loss-cost, AAL, or PML figures.",https://www.renew-risk.com/,2026-07-10,"Uncertain wildfire coverage: the public page does not explicitly list wildfire among modeled perils, unlike hail/wind — flagged as a pathway to inquire about directly rather than assumed to cover wildfire."
VDE_AMERICAS_NATCAT,VDE Americas — Natural Catastrophe Risk & Insurability Report,solar_engineering_firm_report,NO_DIRECT_RENEWABLE_NUMBERS_FOUND,[],"[""SOURCE_DISCOVERY""]","Solar-only company; wildfire is listed as one of five perils a NatCat model 'must characterize' for solar insurability, but with zero methodology or figures disclosed publicly. VDE's demonstrated expertise/quantification is concentrated in hail, not wildfire.",HAZARD_INTENSITY_ENGINEERING,"None — wildfire listed only as a peril category name, no figures.",Any wildfire-specific numeric figure whatsoever.,https://www.vdeamericas.com/,2026-07-10,"HAS_PATHWAY_ONLY for any underlying wildfire methodology; VDE's public quantitative output is hail-focused, and wildfire is currently only a named category, not a quantified peril, on the public materials reviewed."
ZESTYAI_Z_FIRE,ZestyAI — Z-FIRE wildfire risk model,cat_model_vendor_proptech,HAS_GATED_NUMBERS,"[""BURN_PROBABILITY""]","[""SOURCE_DISCOVERY"", ""SCREENING_ONLY""]","Not solar-specific (residential/commercial property lines; no utility-scale solar case study found). Open capability numbers only: trained on 1,500+/2,000+/1,200+ historical wildfire events (figure varies by citation); 44x lift vs regional models; 97-100% US property coverage; Palisades/Eaton fire zones scored 94%/87% High-or-Very-High risk; vegetation study found 78% destruction rate with heavy near-structure vegetation vs 1.9x lower with managed vegetation. No $ loss-cost or AAL numbers published.",HAZARD_INTENSITY_ENGINEERING,"Trained on 1,500+ / 2,000+ / 1,200+ historical fires (varies by citation); 44x lift vs regional models; 97-100% US property coverage; Palisades/Eaton zones scored 94%/87% High-or-Very-High risk; vegetation study: 78% destruction rate with heavy near-structure vegetation vs. 1.9x lower with managed vegetation.","Any $ loss-cost, AAL, or PML figure; any utility-scale solar-specific validation case; the Z-SPARK non-weather-fire $25B headline is deferred as equipment-origin, not wildfire.",https://www.zestyai.com/z-fire,2026-07-10,"Residential/commercial property model with no confirmed utility-scale solar use case; property-count/coverage and model-lift statistics are open, but no solar-relevant dollar figures exist publicly."
DESCARTES_WILDFIRE_PARAMETRIC,Descartes Underwriting — parametric wildfire ('Fire-in-a-Circle' / 'Burnt Area'),parametric_insurance_provider,HAS_OPEN_NUMBERS,"[""TRIGGER_BURN""]","[""SOURCE_DISCOVERY"", ""SCREENING_ONLY""]","Renewable energy/solar explicitly listed as a covered industry. Open product-structure numbers: two trigger structures (radius-based 'Fire-in-a-Circle', hectares-burned 'Burnt Area'); capacity up to $100 million per contract. Pricing/loss-cost figures are gated. No solar-specific $/MW loss-cost published.",HAZARD_INTENSITY_ENGINEERING,Two trigger structures: 'Fire-in-a-Circle' (proximity/radius-based) and 'Burnt Area' (hectares burned). Capacity up to $100 million per contract. Solar/renewable energy explicitly listed as covered industry.,Solar-specific $/MW loss-cost or pricing figures — gated behind Descartes' underwriting process.,https://descartesunderwriting.com/,2026-07-10,"Product-structure facts are open; any solar-specific pricing/loss-cost is HAS_GATED_NUMBERS, obtainable only through a direct quote/underwriting engagement."
ARBOL_WILDFIRE_PARAMETRIC,Arbol — parametric wildfire product,parametric_insurance_provider,HAS_OPEN_NUMBERS,"[""TRIGGER_BURN""]","[""SOURCE_DISCOVERY"", ""SCREENING_ONLY""]","Not explicitly solar-branded (branded for homes/businesses; renewables covered under Arbol's broader energy book, but the wildfire product itself is not solar-branded). Open structure: boundary-crossing trigger via NIFC/Cal Fire perimeter data; limits $1M-$10M; proof-of-loss minimum $10,000; payout within 10 business days.",HAZARD_INTENSITY_ENGINEERING,"Trigger: fire crossing insured-property boundary per NIFC/Cal Fire perimeter data. Limits: $1M-$10M. Proof-of-loss minimum: $10,000. Payout within 10 business days.","Any solar-specific pricing, loss-cost, or utilization data.",https://www.arbolmarket.com/,2026-07-10,"Structure is open and generic (not solar-branded specifically) — treat as a product-design reference/pathway, not a solar-specific benchmark."
CVSR_AVIAN_FIRE_2019,"California Valley Solar Ranch (Clearway) fire, San Luis Obispo Co., CA",named_event_case_study,HAS_OPEN_NUMBERS,"[""EVENT_LOSS"", ""GENERATION_SHORTFALL""]","[""CASE_STUDY_ONLY"", ""PRIMARY_BENCHMARK_CANDIDATE""]","DIRECT physical-damage case: $8-9M estimated loss; 84% of plant capacity knocked out; 1,127 acres burned; 250 MW plant. Cause-coding ambiguous — likely bird/electrical-arc ignition on-site rather than an exogenous wildfire spreading into the site; no module damage reported, only poles/cabling.",ENDOGENOUS_ASSET_ORIGINATED_FIRE,"$8-9M estimated loss; 84% capacity knocked out; 1,127 acres burned; 250 MW nameplate capacity.","Confirmed cause-of-ignition classification (equipment/avian-arc vs true exogenous wildfire spread); MW-normalized $/MW figure (250 MW denominator exists but 84%-capacity-affected vs total-site-value basis is unclear); module-level damage breakdown (poles/cabling only, per source).",https://en.wikipedia.org/wiki/California_Valley_Solar_Ranch,2026-07-10,"CAUSE_CODING_AMBIGUOUS: likely avian/electrical-arc ignition, not classic exogenous wildfire-into-site. $8-9M / 250MW implies ~$32-36k/MW if naively divided, but this is a derived sensitivity, not a stated per-MW figure, and the damage was concentrated in poles/cabling (not module loss) — flag any derived $/MW clearly as illustrative."
DEPCOM_KERN_COUNTY_2020,"DEPCOM Power case study — unnamed 20 MW plant, Kern County, CA, wildfire recovery",om_contractor_case_study,HAS_OPEN_NUMBERS,"[""EVENT_LOSS"", ""COMPONENT_COST"", ""BI_DOWNTIME""]","[""CASE_STUDY_ONLY"", ""SECONDARY_BENCHMARK""]","$2.6M + $1.4M restoration savings; $1.2M (or $400K, source-inconsistent) avoided lost revenue; 60 days faster restoration versus a competitor baseline; ~1,000 modules destroyed. This is a savings-vs-competitor framing, not a gross incurred loss figure.",EXOGENOUS_WILDFIRE_DIRECT,"$2.6M + $1.4M restoration cost savings (vs. competitor baseline); $1.2M avoided lost revenue (also cited elsewhere in the same case study as $400K — internally inconsistent); 60 days faster restoration; ~1,000 modules destroyed; 20 MW plant.","A clean gross-incurred-loss figure (only savings-vs-competitor and avoided-loss framing given, which are not the same as incurred damage); reconciliation of the $1.2M vs $400K avoided-revenue inconsistency.",https://www.depcompower.com/,2026-07-10,"Source is internally inconsistent on the avoided-revenue figure ($1.2M vs $400K cited in different places) — carry both, flagged. Savings/avoided-loss framing is NOT the same metric family as a gross incurred loss; do not treat as a clean severity benchmark."
CANYON_FIRE_2_GRID_2017,"Canyon Fire 2 grid/solar trip, Anaheim Hills, Orange County, CA",named_event_case_study,HAS_GATED_NUMBERS,"[""GENERATION_SHORTFALL""]","[""CASE_STUDY_ONLY""]","~900 MW of solar capacity tripped off near-instantaneously due to a subcycle overvoltage fault triggered by the fire — a grid/inverter-trip event, not physical burn damage. Figure is uncited on its source (Wikipedia) and should be treated as unverified/gated pending primary-source confirmation.",EXOGENOUS_WILDFIRE_DIRECT,~900 MW of solar capacity tripped off near-instantaneously (subcycle overvoltage fault).,Primary-source citation for the 900 MW figure (currently only found uncited on a secondary reference page); any dollar-loss or duration figure for the trip event.,https://en.wikipedia.org/wiki/2017_California_wildfires,2026-07-10,"This is a grid-stability/inverter-trip event (momentary generation loss), fundamentally different from physical fire damage to equipment — do not conflate with DIRECT physical-damage figures. Source citation is weak (uncited secondary reference)."
