"pair","verdict","source","url","publication_year","underlying_data_vintage","evidence_class","what_it_states","figure","metric_identity","loss_basis","denominator","geography_population","loss_pathway","exact_pair_specificity","subsystem","caveats"
"hail × utility-scale solar PV","IN_GEN1","FM/ARRAY deck, 2022 Texas event table","https://www.pv-magazine.com/wp-content/uploads/2025/07/All-presentations-2.pdf","2025","May–Jun 2022 events","R4","Pecos Co: 3.5in hail, damage $150–200m, insured paid ≈$50m; Brown Co: damage $48m, paid ≈$29m; Andrews Co: damage $40m, paid ≈$34m","gross $40–200m vs paid $29–50m","Event damage vs insured amount paid","both bases shown","event loss","Texas","physical damage","exact-pair","PV modules; pallet-stored modules","shows gross-to-net gap of 3–4×"
"hail × utility-scale solar PV","IN_GEN1","FM/ARRAY deck, 12-event dataset","https://www.pv-magazine.com/wp-content/uploads/2025/07/All-presentations-2.pdf","2025","12 large hail events 2016–2024","R3/R4","By front-glass thickness: 3.2mm, 9 events, $36.39m insured damage, 2.69in avg hail; 2.8mm, 2 events, $20.5m; 2.5mm, 1 event, $46.0m; 50% of events ""didn't stow for hail""","see cell","Insured damage per event group; insured damage per MW ×10","insured (paid)","event insured damage; $/MW","US","physical damage","exact-pair","modules; tracker stow","small n; per-MW column units ambiguous in extracted text"
"hail × utility-scale solar PV","IN_GEN1","FM Data Sheet 7-106, Ground-Mounted Solar PV","https://www.fm.com/-/media/project/publicwebsites/fmglobal/documentum-new/data-sheet-individual/07-hazards/fmds07106.pdf","2012, interim revision April 2026","FM loss experience; vintage not disclosed","R1","Minimum hail ratings for PV modules: moderate 1.5in/8 ft-lb; severe 1.75in/14 ft-lb; very severe 2.5in/53 ft-lb; requires defensive hail-stow design and design for worst-case wind load in stow","1.5/1.75/2.5in; 8/14/53 ft-lb","Prescriptive design/impact-energy thresholds","n.a.","n.a.","US + global","physical damage","exact-pair","PV modules; trackers","prescriptive, not loss data"
"hail × utility-scale solar PV","IN_GEN1","Norton Rose Fulbright / kWh Analytics, Climbing insurance premiums","https://www.projectfinance.law/publications/2020/december/climbing-insurance-premiums","2020","2019–2020 market","R2","Solar P&C premiums up to +400% over two years; deductibles now typically 5% of total asset value for cat perils; nat-cat sublimits for SCS (hail, tornado, straight-line wind); difficulty securing capacity above $20m; 2019 Texas hail claim $70–80m","+400%; 5% TIV deductible; $20m capacity; $70–80m","Premium change; deductible as % of asset value; capacity limit; single-claim amount","not stated","premium; total asset value; claim","US solar","physical damage","exact-pair (hail) and exact-pair (SCS incl. tornado/SLW)","","2020 vintage; market has since softened"
"hail × utility-scale solar PV","IN_GEN1","Pryor & Barthelmie, Hail as a damage vector for renewable energy, iScience","https://pmc.ncbi.nlm.nih.gov/articles/PMC12811466/","2025 (collection Jan 2026)","ASOS + NEXRAD 2005–2022 (18 yr)","R6","P30 events ~12.6/yr CONUS, 19.5/yr in the Southeast (28% of US solar PV); P50 ~0.42/yr CONUS, 0.62/yr Southeast; cites Texas PV hail losses of $600m since 2018 and payout caps of $15–40m","12.6 / 19.5 / 0.42 / 0.62 per yr; $600m; $15–40m","Annual frequency of damaging-hail flux events (>11 stones >30/50mm per m² per min); cumulative regional loss; payout cap","not stated for $600m","event frequency; regional loss","CONUS","physical damage + degradation","exact-pair","PV module glass/cells","hazard frequency, not loss"
"wildfire × utility-scale solar PV","IN_GEN1","AXIS Capital, Solar vs Hail — claims data","https://axiscapital.foleon.com/thought-leadership/solarvshail/what-the-claims-data-is-telling-us","2025","closed claims 2019–2025","R1","In US+Canada, hail dominates natcat/weather gross claim amount at 55% ""with wildfire shortly behind""","wildfire 2nd; hail 55%","Rank + peril share of gross claim amount","gross","natcat/weather claim amount","US + Canada","physical damage + BI + DSU","exact-pair","modules; balance of plant","wildfire % not printed in fetched text"
"wildfire × utility-scale solar PV","IN_GEN1","AXIS claims summary in FM/ARRAY deck","https://www.pv-magazine.com/wp-content/uploads/2025/07/All-presentations-2.pdf","2025","AXIS claims to Jul 2025","R1","""AXIS' claims data notes 55% of losses are from hail, with wildfire and tornado being 23% and 18% respectively (July 2025)""","wildfire 23%; tornado 18%","Peril share of solar claim amount","gross","claim amount","US+Canada (per AXIS regional cut)","physical damage","exact-pair","modules","third-party restatement of AXIS"
"wildfire × utility-scale solar PV","IN_GEN1","FM large-loss table, FM/ARRAY deck","https://www.pv-magazine.com/wp-content/uploads/2025/07/All-presentations-2.pdf","2025","2020 and 2023 events","R4","2020 California & Pacific Northwest wildfires (mainly solar): several multi-million-dollar losses, some exceeding $10m; 2023 California wildfire & wind losses (mainly solar): up to $100m",">$10m; up to $100m","Insured amount paid per event cluster","insured (paid)","event insured loss","California / Pacific NW","physical damage","exact-pair (labelled ""mainly solar""); wildfire and wind combined in 2023 row","","2023 row mixes wildfire and wind"
"wildfire × utility-scale solar PV","IN_GEN1","GCube via Insurance Journal (Hail or High Water)","https://www.insurancejournal.com/news/national/2021/07/20/623476.htm","2021","a decade of industry claims data (≈2011–2020)","R2","~50% of all claims for solar asset damage due to extreme weather were caused by wildfire; wildfires have cost the solar industry ""tens of millions of dollars"" over the decade; many insurers adopted blanket wildfire exclusions","~50%; tens of $m","Peril share of extreme-weather solar claims; decade cumulative loss","not stated","extreme-weather solar claims","US / global","physical damage","exact-pair","modules; components","frequency/claims-count basis ambiguous; pre-dates 2022+ hail surge"
"wildfire × utility-scale solar PV","IN_GEN1","kWh loss-database slide, FM/ARRAY deck","https://www.pv-magazine.com/wp-content/uploads/2025/07/All-presentations-2.pdf","2025","2012–2025","R1","Fire = 4.81% of loss dollars in the kWh solar loss database","4.81%","Peril share of ground-up loss dollars","ground-up","portfolio loss amount","US","physical damage","asset-class-only for ""fire"" (wildfire + on-site brushfire combined)","","not wildfire-specific"
"wildfire × utility-scale solar PV","IN_GEN1","kWh Analytics, Solar Risk Assessment 2026","https://kwhanalytics.com/industry-reports/2026-solar-risk-assessment/","2026",">$150bn of renewable energy loss data; window not disclosed","R1","Fire is the second-largest loss driver at PV sites; only 4% of PV fire loss events occur in high wildfire-risk areas; 84% of fire events are equipment-driven brushfires","4%; 84%","Share of fire loss events by wildfire-hazard zone; share of fire events by ignition class","ground-up","fire loss-event count","US","physical damage","exact-pair (splits wildfire from equipment fire)","","event counts, not dollars"
"wildfire × utility-scale solar PV","IN_GEN1","Norton Rose Fulbright / kWh Analytics","https://www.projectfinance.law/publications/2020/december/climbing-insurance-premiums","2020","2020 wildfire season","R2/R4","Two plants in Rosamond, California and a project in Bakersfield had significant wildfire claims during the 2020 wildfire season; deductibles on hail, wildfire and earthquake cover increased significantly","named claims; no $","Named claim existence; deductible direction","not stated","n.a.","California","physical damage","exact-pair","n.a.","no figures"
"wildfire × utility-scale solar PV","IN_GEN1 (degradation co-pathway)","60Hertz Energy in kWh Solar Risk Assessment 2025","https://kwhanalytics.com/wp-content/uploads/2025/06/Solar-Risk-Assessment-2025.pdf","2025","40 sites, 1.2 GWh; May 2025 fire season; 2023 Canadian wildfires","R3/R6","Solar assets can lose up to 6% of annual revenue from major smoke events even when fires are hundreds of miles away; some developers saw 60% of national portfolios lose double-digit generation over two-week windows; 65% of ~700 active fires were in Midwest/Northeast/Southeast","6% of annual revenue; double-digit % generation","Annual revenue loss %; generation loss %","n.a. (revenue)","annual site revenue; generation","US (West, Southeast, Northeast)","degradation / business interruption (uninsured production loss)","exact-pair","PV modules (soiling/irradiance)","revenue basis, not TIV; NOAA-funded vendor research"
"wildfire × utility-scale solar PV","IN_GEN1","FM Data Sheet 7-106","https://www.fm.com/-/media/project/publicwebsites/fmglobal/documentum-new/data-sheet-individual/07-hazards/fmds07106.pdf","2012, rev. April 2026","underlying vintage not disclosed","R1","Requires space separation and protection from wildland fires per DS 9-19; requires irrigation or growth control keeping vegetation below 6 in.","6 in. vegetation height","Prescriptive loss-prevention threshold","n.a.","n.a.","global","physical damage","exact-pair","site vegetation; modules","prescriptive"
"flood × utility-scale solar PV","IN_GEN1","Moody's (RMS) Analytical Services case study","https://www.moodys.com/web/en/us/insights/insurance/applying-specialized-risk-treatment-to-a-solar-farm.html","2025","underlying vintage not disclosed","R1/R3","Exposure disaggregation of a 2,700-acre US solar plant increased the flood AAL by nearly 230%; windstorm AAL increased only 2%; result gave ""a measurable basis for premium loadings""","+230% flood AAL; +2% wind AAL","Change in modelled Average Annual Loss","modelled (basis not stated)","AAL (currency not disclosed)","one US utility-scale solar farm adjacent to a reservoir","physical damage","exact-pair","panels (gridded), switchyard, substations","relative change only; no absolute AAL"
"flood × utility-scale solar PV","IN_GEN1","kWh loss-database slide, FM/ARRAY deck","https://www.pv-magazine.com/wp-content/uploads/2025/07/All-presentations-2.pdf","2025","2012–2025, 92 GWdc, all 50 states","R1","Flood = 0.197% of loss dollars in the kWh solar loss database","0.197%","Peril share of ground-up loss dollars","ground-up","portfolio loss amount ($1.5bn)","US","physical damage","exact-pair","n.a.","strongest counter-evidence for US operational materiality"
"flood × utility-scale solar PV","IN_GEN1","FM large-loss table, FM/ARRAY deck","https://www.pv-magazine.com/wp-content/uploads/2025/07/All-presentations-2.pdf","2025","2024 event","R4","2024 Noor Energy 1 CSP facility, Dubai UAE, construction: ""Flooding destroyed heliostats"", >$300m (est'd)",">$300m","Insured amount paid, single event","insured (paid)","event insured loss","Dubai, UAE","physical damage","adjacent — CSP heliostats in construction, not utility-scale PV","","must not be transferred to PV"
"flood × utility-scale solar PV","IN_GEN1","Allianz Commercial, Claims activity in the age of greening","https://commercial.allianz.com/news-and-insights/expert-risk-articles/global-risk-dialogue-2025-net-zero-transition-claims.html","2025","2024 events","R1","""floods in the United Arab Emirates caused damage to foundations and construction at one of the world's largest solar projects""","no figure","Named claim existence","n.a.","n.a.","UAE","physical damage","exact-pair (solar project, construction phase)","","qualitative"
"flood × utility-scale solar PV","IN_GEN1","GCube via Claims Journal, Arrested Development","https://www.claimsjournal.com/news/national/2024/09/19/326185.htm","2024","global construction claims 2013–2022; $275m onshore CAR/DSU","R2","Weather and nat cat = 48% of onshore renewables construction losses; flooding and heavy rainfall = 18% of total claims by frequency but 46% of total claims cost","48%; 18%; 46%","Peril share of construction loss severity; share of claim frequency; share of claim cost","not stated","onshore renewables construction claim cost ($275m)","global","physical damage + DSU","asset-class-mixed (onshore wind + solar construction)","","cannot be split between wind and solar"
"flood × utility-scale solar PV","IN_GEN1","FM Data Sheet 7-106","https://www.fm.com/-/media/project/publicwebsites/fmglobal/documentum-new/data-sheet-individual/07-hazards/fmds07106.pdf","2012, rev. April 2026","underlying vintage not disclosed","R1","Locate equipment 1–2 ft above the 500-year MRI flood level; elevate access roads 1–2 ft above 500-year MRI; direct run-off to prevent ground scour disturbing equipment and support frames","500-yr MRI + 1–2 ft","Prescriptive return-period siting threshold","n.a.","n.a.","global","physical damage","exact-pair","equipment (inverters/switchyard), support frames, access roads","prescriptive; implies 1-in-500 as the underwriting reference RP"
"flood × utility-scale solar PV","IN_GEN1","kWh Analytics, Solar Risk Assessment 2025","https://kwhanalytics.com/wp-content/uploads/2025/06/Solar-Risk-Assessment-2025.pdf","2025","loss database (avg 4 yr per site)","R1","""Flood-prone sites should ensure that system equipment is elevated above potential flood depths, and have a flood stow protocol in place to elevate the modules above the water""","no figure","Insurer risk-mitigation guidance","n.a.","n.a.","US","physical damage","exact-pair","electrical equipment; modules","qualitative"
"convective wind × onshore wind farm","IN_GEN1","Xcel Energy / Northern States Power, ND PSC Case PU-15-174 filing","https://www.psc.nd.gov/webdocs/case/15-0174/139-010.pdf","2026 (filed 26 Feb 2026)","event June 2025; status as of Feb 2026","R1 (regulatory filing)","EF-5 tornado and high-speed winds damaged Courtenay Wind Farm; 13 of 100 turbines operating, 35 severely damaged and totally inoperable, 53 being assessed; claims process started with insurers; repowering possible 2028+","35/100 destroyed; 87/100 not operating","Physical damage count / asset-population damage ratio","n.a. (no $ disclosed)","turbine count (100)","Courtenay, North Dakota","physical damage + business interruption","exact-pair, tornado-specific","blades (10 landed in fields), full turbines","no dollar figure; damage count still developing (16→13 operating)"
"convective wind × onshore wind farm","IN_GEN1","FM large-loss table, FM/ARRAY deck","https://www.pv-magazine.com/wp-content/uploads/2025/07/All-presentations-2.pdf","2025","2024 event","R4/R1","""2024 — Iowa Wind projects — Tornado — $50m (Est'd)"" insured amount paid","$50m","Insured amount paid, event/cluster","insured (paid)","event insured loss","Iowa, US","physical damage","exact-pair, tornado-specific","n.a.","single line item; no TIV denominator"
"convective wind × onshore wind farm","IN_GEN1","Tokio Marine GX market update","https://tmgx.com/insights/articles/renewable-energy-market-faces-worst-start-to-the-year-for-extreme-weather-losses","2026","preliminary 2026 YTD internal claims data","R1","""$95 million in aggregated renewable energy losses from multiple SCS outbreaks across the central and eastern US, including tornado and hail-driven damage to both solar and onshore wind projects""; >$300m total renewables extreme-weather losses YTD","$95m; >$300m","Aggregated insured loss, period-to-date","insured","aggregated portfolio loss","central/eastern US; global","physical damage","asset-class-mixed (solar + onshore wind) but names onshore wind and tornado explicitly","","preliminary; cannot be split by asset"
"convective wind × onshore wind farm","IN_GEN1","GCube via POWER Magazine","https://www.powermag.com/evolving-extreme-weather-risks-posing-unprecedented-insurance-woes-for-renewables/","2022","last three years to 2022","R2","Over the last three years the industry recorded 40 severe storms (high winds, hail, tornadoes, derechos) vs 13 traditional windstorm events; tornado losses in some cases match the anticipated value of damages from Hurricane Hanna","40 vs 13 events","Event counts by peril class; qualitative severity comparison","n.a.","event count","North America renewables","physical damage","renewable-general","","not asset-split"
"convective wind × onshore wind farm","IN_GEN1","FM Data Sheet 13-10, Land-Based Wind Turbines and Farms","https://www.fm.com/-/media/project/publicwebsites/fmglobal/documentum-new/data-sheet-individual/13-mechanical/fmds1310.pdf","2012, interim revision October 2025","underlying vintage not disclosed","R1","""Windstorms can cause damage to components such as rotor blades or can topple a turbine due to excessive overturning forces, causing either buckling of the support tower or failure of the tower foundation""; requires partial safety factor ≥1.5 and Iw of 1.15 in specified exposures","Lw ≥1.5; Iw 1.15","Prescriptive design load factors","n.a.","n.a.","global onshore","physical damage","exact-pair (extreme wind, not tornado-specific)","tower, foundation, blades","prescriptive; extreme-wind model does not represent tornado"
"hurricane / tropical cyclone × onshore wind farm","IN_GEN1","FEMA Mitigation Assessment Team Report, Hurricanes Irma and Maria in Puerto Rico","https://www.fema.gov/sites/default/files/2020-07/mat-report_hurricane-irma-maria-puerto-rico_2.pdf","2018/2020","Sept 2017 event; 2013-vintage turbines","R5/R6","Punta de Lima Wind Farm, 13 three-bladed turbines, Naguabo; wind speeds ~130 mph caused severe blade damage; some blades broken off supports, others shredded; ""in some cases, all three blades and the top portion of the tower were severed from the tower support""","13 turbines; ~130 mph","Damage-state description; estimated wind speed","n.a.","turbine count","Puerto Rico","physical damage","exact-pair","blades; upper tower","no dollar figure"
"hurricane / tropical cyclone × onshore wind farm","IN_GEN1","Puerto Rico Energy Bureau Resolution and Order, Case CT-2016-0007","https://energia.pr.gov/wp-content/uploads/sites/7/2025/01/20250110-CT20160007-Resolution-and-Order.pdf","2025","Sept 2017 event; restoration to Mar 2024","R1 (regulatory)","13 Vestas V100 2.0 MW turbines; Hurricane María ""caused severe damage to the Island's energy infrastructure, including the Facility, which remained out of operation for several years""; Santander foreclosed and made significant capital investments to repair and reconstruct; COD 7 Mar 2024","13 turbines; ~6.5 yr outage","Outage duration; asset population","n.a.","turbine count; time","Puerto Rico","physical damage + business interruption","exact-pair","full turbines","no loss figure in this order"
"hurricane / tropical cyclone × onshore wind farm","IN_GEN1","PR Energy Resiliency Working Group report (NY Governor's Office)","https://www.governor.ny.gov/sites/default/files/atoms/files/PRERWG_Report_PR_Grid_Resiliency_Report.pdf","2017/2018","Sept 2017 event","R5","""The Punta Lima wind farm suffered significant damage, with loss of approximately half the blades and damage to vertical posts. The other wind farm (Santa Isabel) was seemingly intact."" Estimated repair cost $25m for the wind farm; repair/replacement estimated at 9–12 months","~50% of blades; $25m","Component damage ratio; estimated repair cost","repair cost estimate (not an insured loss)","blade count; repair $","Puerto Rico, 26 MW","physical damage","exact-pair","blades; vertical posts","estimate only; conflicts with total-destruction accounts"
"hurricane / tropical cyclone × onshore wind farm","IN_GEN1","Swiss Re, Wind farms: harvesting energy on shaky grounds and in stormy seas","https://www.swissre.com/dam/jcr:dd24316a-aab5-446a-9758-7d58215e24df/Windfarms+Harvesting+energy+on+shaky+grounds+EN.pdf","2017","events 2013, 2015; modelling to 2016/2030","R1","""Super Typhoon Soudelor brought down several wind turbines in a wind farm in Taiwan in 2015""; ""in 2013, Super Typhoon Usagi damaged wind turbines situated directly on the coast in China's Guangdong Province""; nat cat coverage protects against storms, floods, earthquakes or wildfires; published 50/200-yr market-loss figures are **offshore storm only**","offshore storm 50/200-yr: China $65m/$256m (2016) → $3,717m/$8,359m (2030); N. America $0/$0.15m → $1,079m/$3,587m","Return-period market loss (50-yr, 200-yr)","market loss (basis not stated)","market loss $","Asia, Europe, North America — offshore","physical damage + BI","onshore events named qualitatively; the quantified return-period losses are offshore only","","do not transfer offshore figures onshore"
"hurricane / tropical cyclone × onshore wind farm","IN_GEN1","FM Data Sheet 13-10","https://www.fm.com/-/media/project/publicwebsites/fmglobal/documentum-new/data-sheet-individual/13-mechanical/fmds1310.pdf","2012, rev. October 2025","underlying vintage not disclosed","R1","Wind load Importance Factor 1.15 for tropical-cyclone-prone regions; requires 12 hours of independent yaw-control power capacity in tropical-cyclone-prone regions vs 6 elsewhere; otherwise assume ±180° yaw error","Iw 1.15; 12 h vs 6 h","Prescriptive design/loss-prevention thresholds","n.a.","n.a.","global onshore, TC-prone regions","physical damage","exact-pair","yaw system; tower; blades","prescriptive"
"hurricane / tropical cyclone × onshore wind farm","IN_GEN1","GCube (Fraser McLachlan) in Windpower Engineering","https://www.windpowerengineering.com/catastrophic-insurance-for-wind-farms-2/","2011","2008 Hurricane Ike; 2005 Katrina","R2/R4","Hurricane Ike near Jamaica: $28m wind project, winds >140 mph, ""nearly all nacelle covers were lost"", damage limited to electrical components and feathered blades, wind-driven flexing damaged blade roots; insurers set windstorm sublimits; most projects buy cat cover to 30–50% of asset value","$28m project; 30–50% of asset value","Project value; typical cat-limit as % of asset value","limit basis","asset value","Jamaica; US Gulf/East Coast","physical damage","exact-pair","nacelle covers, blade roots, electrical","2011 vintage; benign outcome at 140 mph"
"hurricane / tropical cyclone × onshore wind farm","IN_GEN1 (contradicting)","Taipei Times / Energy Administration","https://www.taipeitimes.com/News/taiwan/archives/2025/07/08/2003839950","2025","Typhoon Danas, July 2025","R4","More than 400 offshore wind turbines remained undamaged; ""no reports of wind turbine damage have been received so far""; >650 electricity poles and three transmission towers collapsed","0 turbines damaged","Damage count","n.a.","turbine count","Taiwan","physical damage","adjacent (offshore turbines)","","offshore, IEC Class T design; not onshore"
"convective wind × utility-scale solar PV","IN_GEN1","AXIS Capital, Solar vs Hail — claims data","https://axiscapital.foleon.com/thought-leadership/solarvshail/what-the-claims-data-is-telling-us","2025","closed claims 2019–2025","R1","""strong wind — encapsulating winds produced by named storm, SCS, sandstorm, and other wind weather phenomena — has had the highest claims frequency of 23% ... and makes up 45% on a claims amount perspective""; many hail claims also saw SCS wind damage, more likely where twisters and tornados are present","23% frequency; 45% of claim amount","Peril-class share of claim frequency; share of gross claim amount","gross","natcat/weather solar claim amount","global","physical damage + BI + DSU","asset-class exact but peril-aggregated (named storm + SCS + sandstorm bundled)","","this is the key mapping problem for the InfraSure `solar_strong_wind` cell"
"convective wind × utility-scale solar PV","IN_GEN1","AXIS claims summary in FM/ARRAY deck","https://www.pv-magazine.com/wp-content/uploads/2025/07/All-presentations-2.pdf","2025","AXIS claims to Jul 2025","R1","Tornado = 18% of AXIS solar losses (with hail 55%, wildfire 23%)","18%","Peril share of solar claim amount","gross","claim amount","US+Canada","physical damage","exact-pair, tornado-specific","","third-party restatement"
"convective wind × utility-scale solar PV","IN_GEN1","kWh loss-database slide, FM/ARRAY deck","https://www.pv-magazine.com/wp-content/uploads/2025/07/All-presentations-2.pdf","2025","2012–2025","R1","""SCS-wind + Tornado"" = 3.6% of loss dollars (hail shown separately at 72.5%)","3.6%","Peril share of ground-up loss dollars","ground-up","portfolio loss amount ($1.5bn)","US","physical damage","exact-pair, hail explicitly excluded","","best available convective-wind-only share"
"convective wind × utility-scale solar PV","IN_GEN1","Descartes Underwriting, parametric tornado insurance for US utility-scale solar","https://descartesunderwriting.com/white-papers/satellite-powered-protection-parametric-tornado-insurance-us-utility-scale-solar-farms","2025/2026","US SCS 2025 statistics; product terms","R1","Purpose-built parametric tornado product for utility-scale PV; payout = % of insured area damaged × limit (example: 20% of a $50m-insured farm → $10m); covers microcracking, panel shattering, cascading rack failure; even EF-0 tornadoes can cause catastrophic panel damage; US SCS 2025 $68bn economic / $52bn insured, 19 billion-dollar events","20% × $50m = $10m example; $52bn US SCS insured 2025","Parametric payout structure (damaged-area fraction × limit); national peril insured loss","insured","policy limit; national insured loss","US","physical damage + BI","exact-pair, tornado-specific","","product illustration, not a loss distribution"
"convective wind × utility-scale solar PV","IN_GEN1","kWh Analytics, Solar Risk Assessment 2025","https://kwhanalytics.com/wp-content/uploads/2025/06/Solar-Risk-Assessment-2025.pdf","2025","loss database","R1","""Severe winds cause losses through torsional galloping or liberated modules""; mitigations are fixed mounting or single-axis trackers with wind-stow programs, top-tier racking, torque audits, deep pile foundations; SCS damages ""typically include hail, tornado, and straight-line wind"" and are largely caused by hail","no figure","Failure-mechanism identification","n.a.","n.a.","US","physical damage","exact-pair","trackers, racking, torque tubes, piles, modules","qualitative"
"convective wind × utility-scale solar PV","IN_GEN1","FM Data Sheet 7-106","https://www.fm.com/-/media/project/publicwebsites/fmglobal/documentum-new/data-sheet-individual/07-hazards/fmds07106.pdf","2012, rev. April 2026","underlying vintage not disclosed","R1","Tracker arrays must be interlocked to rotate to design stow when any site anemometer reads 25% below the wind-tunnel-determined instability (torsional galloping) speed; ≥2 anemometers per side; minimum safety factor 2.0 on connections; no ballasted ground-mounted panels","25% margin; SF 2.0","Prescriptive design/control thresholds","n.a.","n.a.","global","physical damage","exact-pair","trackers, connections, piles","prescriptive"
