source_id,source_name,source_type,availability_tag,metric_tags,evidence_use_tags,sub_peril_family,has_open_numbers,does_not_have_open,url,retrieved,notes
DOE_FEMP_PV_WEATHER_GUIDE,DOE FEMP — PV System Owner's Guide to Weather Vulnerabilities,government_engineering_report,HAS_OPEN_NUMBERS,CAPEX_PER_WATT;MECHANISM;DAMAGE_STATE,MECHANISM_ONLY;CROSS_CHECK_TIV_BASIS,STRAIGHT_LINE_CONVECTIVE,"Repair/replace cost tiers spanning $0.01-$1.50 per watt by damage severity; wind failure modes (module detachment, racking/tracker failure, foundation uplift).",Event-level $/MW loss tied to a specific wind speed; DR-vs-gust ordinates.,https://www.energy.gov/sites/default/files/2021-09/pv-system-owners-guide-to-weather-vulnerabilities.pdf,2026-07-13,"Cost tiers ($/W) provide a partial-loss severity ladder; useful to bound sub-total DR states, but not tied to a gust ordinate. Mechanism-rich."
OAKEY_2019_PVMAG,"pv magazine — 'What broke at Oakey' (Oakey solar farm wind damage, AU)",trade_press_case_study,HAS_OPEN_NUMBERS,DAMAGE_STATE;CASE_STUDY,CASE_STUDY_ONLY,STRAIGHT_LINE_CONVECTIVE,"~2,000 modules damaged at a 55 MW plant during a wind event; tracker/module-attachment failure modes documented.",Dollar loss; DR at a measured gust; US applicability.,https://www.pv-magazine-australia.com/2019/12/07/long-read-what-broke-at-oakey/,2026-07-13,"Australian case; damage-state + module count at a known MW. Module-count/MW gives a partial-loss fraction anchor (module-attach FU), but no $ and non-US climate."
SOLTEC_2019_PVMAG,Soltec — tracker wind performance presentation (perimeter-row failure pattern),manufacturer_technical,HAS_OPEN_NUMBERS,DAMAGE_STATE;CASE_STUDY,CASE_STUDY_ONLY;MECHANISM_ONLY,STRAIGHT_LINE_CONVECTIVE,"~1% of trackers collapsed + ~1% minor damage in a wind event, concentrated in PERIMETER rows.",Dollar loss; gust ordinate; independent verification (vendor-authored).,https://www.pv-magazine.com/wp-content/uploads/2019/03/Soltec-presentation.pdf,2026-07-13,"Vendor-authored; perimeter-row concentration is a key spatial mechanism (aeroelastic edge loading). ~1-2% collapse fraction is a partial-loss anchor, no $."
NEXTRACKER_STOW_WHITEPAPER_2018,NEXTracker — tracker stow reliability white paper (Table 1 failure-probability by stow),manufacturer_technical,HAS_OPEN_NUMBERS,FAILURE_PROBABILITY;MECHANISM,SCREENING_ONLY;MECHANISM_ONLY,STRAIGHT_LINE_CONVECTIVE,Table 1 modeled 25-yr cumulative failure probability by stow strategy: Central CA 1.7% (good stow) vs 7.4% (poor); Utah 2.7% vs 14.6%; Saudi 0.1% vs 1.0%.,$/MW loss; single-event DR; independent verification (vendor-modeled).,https://cdn2.hubspot.net/hubfs/1856748/nextracker_assets/pdfs/NEXT_whitepaper_092018.pdf,2026-07-13,"Vendor-modeled 25-yr failure PROBABILITY (not single-event DR, not $). Shows stow strategy swings failure prob ~4-10x — a key modifiable-risk mechanism. SCREENING only."
CPP_TORSIONAL_GALLOPING_2015,"CPP Wind (Rohr, Bourke, Banks 2015) — torsional instability of single-axis trackers",peer_engineering_paper,HAS_OPEN_NUMBERS,FRAGILITY_PARAM;INTENSITY;MECHANISM,MECHANISM_ONLY,STRAIGHT_LINE_CONVECTIVE,Torsional galloping / aeroelastic instability onset below ~40 m/s (~90 mph) for un-stowed single-axis trackers; flat (0-deg) stow raises the critical speed.,$/MW loss; DR ordinates; single fleet-wide critical speed (system-specific).,https://cppwind.com/wp-content/uploads/2014/01/Torsional-Instability-of-Single-Axis-Solar-Tracking-Systems-Rohr-Bourke-Banks-2015.pdf,2026-07-13,"THE canonical mechanism paper behind the v2 single-axis-tracker 'Ucrit' axis. ~40 m/s onset is system-specific, not a fleet plug-in. Mechanism/form evidence, not a benchmark."
NREL_PLR_WIND_2024,NREL — PV performance-loss-rate vs wind exposure study,government_engineering_report,HAS_OPEN_NUMBERS,PERFORMANCE_LOSS;INTENSITY,MECHANISM_ONLY;SCREENING_ONLY,STRAIGHT_LINE_CONVECTIVE,"No elevated performance-loss-rate below ~90 km/h (~56 mph); ~1% median annual performance loss overall (degradation, not catastrophic).",Catastrophic $/MW; single-event DR at high gust.,https://docs.nrel.gov/docs/fy24osti/86414.pdf,2026-07-13,"Establishes a ~56 mph lower threshold below which wind does not measurably degrade PV — supports the v1 R0 threshold (DR~0 below design). Degradation metric, not catastrophic loss."
PVEL_MSS_SCORECARD_2025,PVEL — Module Mechanical Stress Sequence (MSS) scorecard,testing_lab_publication,HAS_OPEN_NUMBERS,LOAD_RATING;FAILURE_RATE;MECHANISM,MECHANISM_ONLY;SCREENING_ONLY,STRAIGHT_LINE_CONVECTIVE,Tracker-mounted module load rating ±1800 Pa vs fixed-tilt ±2400 Pa; BOM-material failure rate rose 7% (2024) -> 20% (2025) in MSS testing.,$/MW; field DR at a gust; direct pressure-to-DR mapping.,https://scorecard.pvel.com/mechanical-stress-sequence/,2026-07-13,"Lab load ratings (Pa) support the fixed-tilt-vs-tracker architecture split in v2 (different design pressures). Rising failure rate is a manufacturing-quality trend, not a wind loss."
ASCE_7_22_WIND,ASCE 7-22 — wind load provisions (§29.4.5 ground-mount solar; Ch.32 tornado),design_standard,HAS_OPEN_NUMBERS,DESIGN_LOAD;INTENSITY,MECHANISM_ONLY,STRAIGHT_LINE_CONVECTIVE,§29.4.5 gives ground-mounted solar wind-load procedure; Chapter 32 treats tornado loads as a SEPARATE load case from synoptic/straight-line wind.,Loss; DR; $/MW.,https://www.asce.org/publications-and-news/asce-7,2026-07-13,"Standard basis for the design-demand denominator in v2 (event demand / qualified design demand). ASCE keeping tornado (Ch.32) separate from straight-line wind mirrors the sub-peril split. Design threshold, not a loss."
NREL_STORM_HARDENING_2020,NREL — PV storm-hardening cost study (¢/W hardening measures),government_engineering_report,HAS_OPEN_NUMBERS,CAPEX_PER_WATT;MECHANISM,MECHANISM_ONLY;CROSS_CHECK_TIV_BASIS,STRAIGHT_LINE_CONVECTIVE,Incremental storm-hardening measures quantified in ¢/W (fractions of the ~$1.12/W TIV base).,Avoided-loss $/MW; DR reduction per measure.,https://www.nrel.gov/docs/fy20osti/76045.pdf,2026-07-13,Hardening-cost ladder (¢/W) contextualizes the value at risk relative to the TIV base; not a loss figure.
NOAA_STORM_EVENTS_WIND,NOAA/NCEI Storm Events Database — Thunderstorm Wind / High Wind,government_event_log,GENERIC_ONLY,EVENT_COUNT;EVENT_LOSS,GENERIC_ONLY;SCREENING_ONLY,STRAIGHT_LINE_CONVECTIVE,Event log Jan 1950-Mar 2026; damaging wind events from 1955; county-level all-property PrD/CrD damage estimates.,Solar-asset breakdown; solar-MW denominator; adjuster-verified claims.,https://www.ncei.noaa.gov/stormevents/,2026-07-13,"GENERIC_ONLY: all-property county-level estimates. Useful as a wind-frequency overlay on the exposure map, never a solar $-loss benchmark."
SPC_SEVERE_WIND_CLIMO,NOAA/NWS Storm Prediction Center — severe wind climatology & report archive,government_event_log,GENERIC_ONLY,EVENT_COUNT;CLIMATOLOGY,GENERIC_ONLY;SCREENING_ONLY,STRAIGHT_LINE_CONVECTIVE,"~13,858 avg annual non-tornadic T-storm wind reports (2004-2013); 2024 had most 75+ mph wind reports on record; gridded 50-64kt / >64kt wind climatology.",Any dollar-loss; any asset-class content.,https://www.spc.noaa.gov/wcm/,2026-07-13,"GENERIC_ONLY: pure meteorological event logs, zero $-loss. Wind-hazard frequency climatology overlay only."
SHELDUS_V23,SHELDUS v23 — Spatial Hazard Events and Losses Database (ASU CEMHS),academic_loss_database,HAS_GATED_NUMBERS,ANNUAL_INDUSTRY_LOSS;EVENT_LOSS;COUNTY_LEVEL,GENERIC_ONLY;SCREENING_ONLY,STRAIGHT_LINE_CONVECTIVE,"County-level all-property direct loss 1960-2023, 18 hazard types incl. 'Severe Storm/Thunderstorm' & 'Wind'. Pay-as-you-go pricing 1.2-3 c/record.",Solar-asset decomposition; free bulk national download; specific $ (not purchased this pass).,https://cemhs.asu.edu/sheldus,2026-07-13,"GENERIC_ONLY + GATED. Re-packages NOAA Storm Data with economic normalization. PATHWAY (per-record cost), not a benchmark."
AON_CCI_2026_SCS,Aon — 2026 Climate and Catastrophe Insight (FY2025),reinsurance_broker_publication,HAS_OPEN_NUMBERS,ANNUAL_INDUSTRY_LOSS,GENERIC_ONLY;SCREENING_ONLY,CONVECTIVE_BLENDED,"2025 global SCS insured losses $61B (3rd-highest on record); SCS now costliest insured peril of the 21st century; US = 81% of global insured losses ($103B, all perils).",Solar/utility-generation decomposition; solar-MW denominator; wind-only isolation within SCS.,https://www.prnewswire.com/news-releases/severe-convective-storms-now-the-costliest-insured-peril-of-the-21st-century-aon-reports-302665275.html,2026-07-13,GENERIC_ONLY: global all-property SCS aggregate. Macro context only.
SWISS_RE_SIGMA_2025_01,Swiss Re Institute — sigma 1/2025 Natural catastrophes,reinsurance_broker_publication,HAS_OPEN_NUMBERS,ANNUAL_INDUSTRY_LOSS,GENERIC_ONLY;SCREENING_ONLY,CONVECTIVE_BLENDED,2024 global insured nat-cat $137B; SCS 2024 >$51B (2nd-highest after ~$70B in 2023); US ~85% of SCS losses historically; US SCS +8%/yr nominal since 2008.,Solar decomposition; solar denominator; wind-only within SCS (bundles hail+tornado+SLW+lightning).,https://www.swissre.com/institute/research/sigma-research/sigma-2025-01-natural-catastrophes-trend.html,2026-07-13,GENERIC_ONLY: bundles all SCS sub-perils. Third reinsurer voice triangulating ~$51-64B/yr US-heavy SCS. Macro context only.
USPVDB_2026_V4,US Large-Scale Solar Photovoltaic Database (USGS/LBNL) v4.0,government_exposure_database,HAS_OPEN_NUMBERS,EXPOSURE;CAPACITY_MW;GEOGRAPHIC_DISTRIBUTION,DENOMINATOR_ONLY,N/A,"6,611 utility-scale plants; 131,573 MW-AC / ~162,802 MW-DC; TX largest (23,033 MW-AC, 187 plants); CA most plants (893). DERIVED: Plains/Midwest/TX convective corridor ~38.4% of tracked capacity.",Any loss/damage/wind-hazard attribution; per-plant $/MW cost; rooftop/<1MW facilities.,https://energy.usgs.gov/uspvdb/,2026-07-13,"Best public denominator source for the geographic-concentration argument. The 38.4% corridor figure is a DERIVED task aggregate (not source-verbatim). Pure exposure, no loss."
EIA_860_2025,EIA Form 860 / Electric Power Monthly — utility-scale solar capacity,government_survey,HAS_OPEN_NUMBERS,EXPOSURE;CAPACITY_MW;STATE_LEVEL,DENOMINATOR_ONLY,N/A,"Utility-scale solar net summer capacity: 90,528 MW (2023) -> 122,060 MW (2024) -> 149,798.5 MW (2025). TX solar 24,549.1 MW (Apr-2025).",Wind-loss/damage; per-plant construction cost in usable public form.,https://www.eia.gov/electricity/data/eia860/,2026-07-13,"Most-current monthly-updated MW totals; feeds USPVDB (not independent). TABLE-CROSSING RISK flagged (wind vs solar columns). Denominator, not a loss."
NREL_DOE_PV_COST_BENCHMARK_Q1_2024,DOE/NREL/LBNL/Sandia — U.S. Solar PV System Cost Benchmark Q1 2024,government_engineering_report,HAS_OPEN_NUMBERS,CAPEX_PER_WATT;TIV_CROSS_CHECK,CROSS_CHECK_TIV_BASIS,N/A,"Utility-scale (100 MW-dc) MMP = $1.12/W-dc (= $1,120,000/MW-dc, EXACT match to the dossier TIV base); MSP $0.98/W-dc; O&M $19/kW-dc-yr; LCOE $47/MWh.",Wind-damage/loss; geographic cost breakdown in the headline table.,https://www.energy.gov/cmei/systems/solar-photovoltaic-system-cost-benchmarks,2026-07-13,"The strongest external cross-check for the $1,120,000/MWdc installed-TIV basis — essentially exact. Bottom-up model, pre-ITC, excludes land. Cross-check only, not a loss."
NREL_ATB_2024_UTILITY_PV,NREL 2024 Annual Technology Baseline — Utility-Scale PV,government_engineering_report,HAS_OPEN_NUMBERS,CAPEX_PER_WATT;TIV_CROSS_CHECK,CROSS_CHECK_TIV_BASIS,N/A,"Overnight capital cost $1.43/W-AC (2022, ILR 1.34) ~ $1.07/W-DC; $1.56/W-AC (2023) ~ $1.16/W-DC.",Hazard/loss; independent (shares NREL/LBNL survey lineage with the benchmark report).,https://atb.nrel.gov/electricity/2024/utility-scale_pv,2026-07-13,Secondary TIV cross-check consistent with the Q1-2024 benchmark. AC/DC basis via ILR 1.34 — reconcile before combining.
LBNL_UTILITY_SCALE_SOLAR_2025ED,"LBNL — Utility-Scale Solar, 2025 Edition (empirical EIA-860 project costs)",government_engineering_report,HAS_OPEN_NUMBERS,CAPEX_PER_WATT;REGIONAL_COST_VARIATION;TIV_CROSS_CHECK,CROSS_CHECK_TIV_BASIS;DENOMINATOR_CONTEXT,N/A,"National capacity-weighted mean $1.43/W-AC ($1.08/W-DC, 2023); ERCOT/TX ~$1.38/W-AC (~$1.06/W-DC, secondary-compiled, needs primary verification).",State-level cost granularity (aggregated to ISO/RTO); wind-loss.,https://emp.lbl.gov/,2026-07-13,"Empirical EIA-860-derived CAPEX cross-check. ERCOT regional figure is secondary-aggregator-sourced (PROVISIONAL). Denominator/cross-check, not a loss."
